Parcel_id,Island,Suburb,Height,Area
7550,Architect Island,Axonometric,10,945
7551,Architect Island,Section,10,930
7552,Architect Island,Section,10,900
7553,Architect Island,Axonometric,10,900
7554,Architect Island,Axonometric,10,870
7555,Architect Island,Elevation,10,870
7556,Architect Island,Elevation,10,870
7557,Architect Island,Section,10,780
7558,Architect Island,Elevation,10,615
7559,Architect Island,Axonometric,10,600
7560,Architect Island,Plan,10,570
7561,Architect Island,Section,10,555
7562,Architect Island,Plan,10,495
7563,Architect Island,Elevation,10,484
7564,Architect Island,Plan,10,484
7565,Architect Island,Section,10,472
7566,Architect Island,Axonometric,10,472
7567,Architect Island,Elevation,10,450
7568,Architect Island,Elevation,10,361
7569,Architect Island,Elevation,10,361
7570,Architect Island,Section,10,361
7571,Architect Island,Axonometric,10,361
7572,Architect Island,Plan,10,345
7573,Architect Island,Elevation,10,330
7574,Architect Island,Elevation,10,330
7575,Architect Island,Plan,10,330
7576,Architect Island,Elevation,10,308
7577,Architect Island,Plan,10,308
7578,Architect Island,Section,10,270
7579,Architect Island,Section,10,242
7580,Architect Island,Axonometric,10,242
7581,Architect Island,Axonometric,10,225
7582,Architect Island,Section,10,48
7583,Architect Island,Axonometric,10,48
7584,Architect Island,Elevation,10,44
7585,Architect Island,Elevation,10,44
7586,Architect Island,Section,10,44
7587,Architect Island,Axonometric,10,44
7588,Architect Island,Section,10,28
7589,Architect Island,Axonometric,10,28
7590,Architect Island,Axonometric,10,28
7591,Architect Island,Section,10,28
7592,Architect Island,Elevation,32,792
7593,Architect Island,Section,32,792
7594,Architect Island,Axonometric,32,792
7595,Architect Island,Plan,32,792
7596,Architect Island,Elevation,32,676
7597,Architect Island,Section,32,676
7598,Architect Island,Axonometric,32,676
7599,Architect Island,Plan,32,676
7600,Architect Island,Section,32,408
7601,Architect Island,Section,32,408
7602,Architect Island,Axonometric,32,408
7603,Architect Island,Plan,32,400
7604,Architect Island,Axonometric,32,384
7605,Architect Island,Section,32,375
7606,Architect Island,Axonometric,32,375
7607,Architect Island,Plan,32,377
7608,Architect Island,Elevation,32,350
7609,Architect Island,Elevation,32,350
7610,Architect Island,Section,32,350
7611,Architect Island,Axonometric,32,350
7612,Architect Island,Plan,32,350
7613,Architect Island,Plan,32,350
7614,Architect Island,Section,32,351
7615,Architect Island,Axonometric,32,351
7616,Architect Island,Section,32,351
7617,Architect Island,Axonometric,32,351
7618,Architect Island,Elevation,32,338
7619,Architect Island,Elevation,32,338
7620,Architect Island,Elevation,32,338
7621,Architect Island,Elevation,32,338
7622,Architect Island,Elevation,32,338
7623,Architect Island,Elevation,32,338
7624,Architect Island,Section,32,338
7625,Architect Island,Axonometric,32,338
7626,Architect Island,Section,32,338
7627,Architect Island,Axonometric,32,338
7628,Architect Island,Plan,32,338
7629,Architect Island,Plan,32,338
