Parcel_id,Island,Suburb,Height,Area
7630,Architect Island,Plan,32,338
7631,Architect Island,Plan,32,338
7632,Architect Island,Plan,32,320
7633,Architect Island,Elevation,32,304
7634,Architect Island,Axonometric,32,286
7635,Architect Island,Section,32,260
7636,Architect Island,Axonometric,32,260
7637,Architect Island,Section,32,260
7638,Architect Island,Axonometric,32,260
7639,Architect Island,Section,32,260
7640,Architect Island,Plan,32,260
7641,Architect Island,Plan,32,228
7642,Architect Island,Plan,32,228
7643,Architect Island,Section,32,221
7644,Architect Island,Section,32,221
7645,Architect Island,Axonometric,32,221
7646,Architect Island,Section,32,221
7647,Architect Island,Section,32,221
7648,Architect Island,Axonometric,32,221
7649,Architect Island,Plan,32,221
7650,Architect Island,Elevation,32,208
7651,Architect Island,Elevation,32,208
7652,Architect Island,Elevation,32,208
7653,Architect Island,Elevation,32,208
7654,Architect Island,Elevation,32,208
7655,Architect Island,Elevation,32,208
7656,Architect Island,Axonometric,32,208
7657,Architect Island,Section,32,208
7658,Architect Island,Section,32,208
7659,Architect Island,Section,32,208
7660,Architect Island,Plan,32,208
7661,Architect Island,Plan,32,208
7662,Architect Island,Plan,32,209
7663,Architect Island,Plan,32,209
7664,Architect Island,Plan,32,209
7665,Architect Island,Plan,32,209
7666,Architect Island,Section,32,200
7667,Architect Island,Section,32,200
7668,Architect Island,Axonometric,32,200
7669,Architect Island,Axonometric,32,200
7670,Architect Island,Plan,32,200
7671,Architect Island,Elevation,32,195
7672,Architect Island,Plan,32,195
7673,Architect Island,Plan,32,195
7674,Architect Island,Elevation,32,192
7675,Architect Island,Elevation,32,190
7676,Architect Island,Elevation,32,190
7677,Architect Island,Elevation,32,190
7678,Architect Island,Elevation,32,190
7679,Architect Island,Elevation,32,190
7680,Architect Island,Elevation,32,190
7681,Architect Island,Elevation,32,190
7682,Architect Island,Elevation,32,190
7683,Architect Island,Section,32,190
7684,Architect Island,Section,32,190
7685,Architect Island,Axonometric,32,190
7686,Architect Island,Axonometric,32,190
7687,Architect Island,Plan,32,190
7688,Architect Island,Plan,32,190
7689,Architect Island,Plan,32,190
7690,Architect Island,Elevation,32,180
7691,Architect Island,Section,32,180
7692,Architect Island,Elevation,32,169
7693,Architect Island,Elevation,32,169
7694,Architect Island,Elevation,32,169
7695,Architect Island,Axonometric,32,169
7696,Architect Island,Axonometric,32,169
7697,Architect Island,Section,32,169
7698,Architect Island,Axonometric,32,169
7699,Architect Island,Axonometric,32,169
7700,Architect Island,Section,32,169
7701,Architect Island,Axonometric,32,169
7702,Architect Island,Section,32,169
7703,Architect Island,Axonometric,32,169
7704,Architect Island,Section,32,169
7705,Architect Island,Axonometric,32,169
7706,Architect Island,Axonometric,32,169
7707,Architect Island,Section,32,169
7708,Architect Island,Section,32,169
7709,Architect Island,Plan,32,169
7710,Architect Island,Plan,32,169
7711,Architect Island,Plan,32,169
7712,Architect Island,Plan,32,169
7713,Architect Island,Plan,32,169
7714,Architect Island,Plan,32,169
7715,Architect Island,Plan,32,170
7716,Architect Island,Elevation,32,171
7717,Architect Island,Elevation,32,171
7718,Architect Island,Elevation,32,171
7719,Architect Island,Elevation,32,171
7720,Architect Island,Section,32,171
7721,Architect Island,Plan,32,171
7722,Architect Island,Plan,32,171
7723,Architect Island,Plan,32,171
7724,Architect Island,Plan,32,171
7725,Architect Island,Elevation,32,160
7726,Architect Island,Section,32,160
7727,Architect Island,Axonometric,32,160
7728,Architect Island,Elevation,32,156
7729,Architect Island,Elevation,32,156
7730,Architect Island,Axonometric,32,156
7731,Architect Island,Section,32,156
7732,Architect Island,Section,32,156
7733,Architect Island,Elevation,32,153
7734,Architect Island,Axonometric,32,153
7735,Architect Island,Axonometric,32,153
7736,Architect Island,Plan,32,144
7737,Architect Island,Axonometric,32,130
7738,Architect Island,Axonometric,32,130
7739,Architect Island,Section,32,100
7740,Architect Island,Section,32,90
7741,Architect Island,Section,32,90
7742,Architect Island,Axonometric,32,90
7743,Architect Island,Axonometric,32,90
7744,Architect Island,Section,32,90
7745,Architect Island,Axonometric,32,81
7746,Architect Island,Axonometric,32,81
7747,Architect Island,Axonometric,32,81
